品牌,能效等级,SSD,厚度,机身材质,屏幕尺寸,刷新率,覆盖对数
Apple,二级,512GB+2TB,20.0mm以上,复合材质,13.0-13.9英寸,90Hz,12
HONOR,二级,128GB,15.1-18.0mm,含碳纤维,14.0-14.9英寸,144Hz,12
DELL,一级,128GB,15.1-18.0mm,金属,13.0英寸以下,60Hz,14
ASUS,三级,512GB+2TB,18.1-20.0mm,含碳纤维,14.0-14.9英寸,90Hz,13
华为,一级,3TB*2,18.1-20.0mm,复合材质,13.0-13.9英寸,60Hz,12
Lenovo,二级,512GB+2TB,15.0mm及以下,含碳纤维,13.0-13.9英寸,90Hz,11
MI,三级,3TB*2,18.1-20.0mm,金属+复合材质,14.0-14.9英寸,60Hz,12
Apple,二级,256GB+1TB,15.0mm及以下,金属,16.0-16.9英寸,144Hz,13
hp,三级,3TB*2,18.1-20.0mm,含碳纤维,13.0英寸以下,144Hz,13
Apple,二级,3TB,18.1-20.0mm,金属,15.0-15.9英寸,165Hz,15
HONOR,三级,128GB,15.0mm及以下,金属+复合材质,14.0-14.9英寸,60Hz,12
ThinkPad,三级,3TB,15.0mm及以下,金属+复合材质,13.0英寸以下,144Hz,11
DELL,一级,512GB+2TB,18.1-20.0mm,金属,14.0-14.9英寸,144Hz,12
华为,二级,512GB+2TB,15.0mm及以下,金属+复合材质,16.0-16.9英寸,120Hz,12
ASUS,三级,3TB*2,20.0mm以上,含碳纤维,16.0-16.9英寸,120Hz,11
Lenovo,三级,256GB+1TB,15.1-18.0mm,复合材质,16.0-16.9英寸,60Hz,10
MI,一级,512GB+2TB,20.0mm以上,金属+复合材质,13.0英寸以下,165Hz,12
hp,一级,256GB+1TB,15.1-18.0mm,含碳纤维,13.0-13.9英寸,165Hz,12
Apple,三级,128GB,15.1-18.0mm,金属+复合材质,13.0英寸以下,90Hz,11
DELL,一级,256GB+1TB,20.0mm以上,金属,13.0-13.9英寸,90Hz,13
ThinkPad,一级,512GB+2TB,18.1-20.0mm,复合材质,14.0-14.9英寸,165Hz,11
HONOR,三级,3TB,15.1-18.0mm,金属,16.0-16.9英寸,90Hz,11
Lenovo,三级,128GB,15.1-18.0mm,金属+复合材质,13.0-13.9英寸,120Hz,10
华为,二级,3TB,15.0mm及以下,复合材质,14.0-14.9英寸,144Hz,11
